DATASET,GP,FIFO/CS,DD/CS,FIFO/Relax,FIFO+DD/CS,FIFO+DD/CS+Relax
./data_1_9/nsf_centers_easy_s1.json,0.497783975,0.497514722,0.497078315,0.497652104,0.498200469,0.498291336
./data_1_9/nsf_centers_easy_s2.json,0.493195591,0.514951265,0.509647137,0.514800249,0.517795566,0.521021103
./data_1_9/nsf_centers_easy_s3.json,0.494996925,0.504580223,0.501596048,0.506156036,0.510171726,0.509899822
./data_1_9/nsf_centers_hard_s1.json,0.496159837,0.499890586,0.500722348,0.499380793,0.50013719,0.500722348
./data_1_9/nsf_centers_hard_s2.json,0.466562628,0.504444484,0.525313871,0.504015736,0.525961139,0.525313871
./data_1_9/nsf_centers_hard_s3.json,0.442341642,0.504150898,0.527689363,0.501387426,0.52737172,0.527689363
./data_1_9/nsf_centers_normal_s1.json,0.493734684,0.494551649,0.49756201,0.496353568,0.496232043,0.49756201
./data_1_9/nsf_centers_normal_s2.json,0.467002196,0.516086519,0.522367422,0.512218607,0.519935782,0.522367422
./data_1_9/nsf_centers_normal_s3.json,0.484554484,0.521794935,0.536185164,0.518459478,0.533559668,0.536185164
./data_1_9/nsf_rural_easy_s1.json,0.406239555,0.406195398,0.407199911,0.443786062,0.405011217,0.441813773
./data_1_9/nsf_rural_easy_s2.json,0.438413062,0.434149084,0.434033191,0.477258252,0.432544384,0.474388234
./data_1_9/nsf_rural_easy_s3.json,0.423589946,0.430719694,0.424134347,0.458141331,0.431949302,0.455969464
./data_1_9/nsf_rural_hard_s1.json,0.480702127,0.486696386,0.487374637,0.48736898,0.487457071,0.487578589
./data_1_9/nsf_rural_hard_s2.json,0.445999933,0.493576509,0.508024247,0.493183686,0.507706054,0.507704854
./data_1_9/nsf_rural_hard_s3.json,0.423393904,0.489231536,0.510045408,0.491604686,0.509584629,0.509807651
./data_1_9/nsf_rural_normal_s1.json,0.412518731,0.41220995,0.412602661,0.445239137,0.41308518,0.441262995
./data_1_9/nsf_rural_normal_s2.json,0.408435292,0.41204343,0.415891514,0.445788853,0.416901049,0.445996109
./data_1_9/nsf_rural_normal_s3.json,0.434733153,0.443393982,0.455195094,0.475846601,0.453951005,0.488517441
./data_1_9/nsf_uniform_easy_s1.json,0.416667726,0.417141318,0.418932536,0.448064073,0.418325824,0.445242077
./data_1_9/nsf_uniform_easy_s2.json,0.34586726,0.356285453,0.374245963,0.442716822,0.374443159,0.438814245
./data_1_9/nsf_uniform_easy_s3.json,0.446818542,0.448998202,0.450738923,0.475840314,0.446083793,0.476348516
