Default Dataset,
X,Y
9.5,628.9666667
17,544.3125
19.5,570.8666667
23,594.25
49.5,625
62,239.96875
67,659.96875
73,511.8125
74.5,536.3
89.47537473,580.856531
96,160.1875
96.97058824,673.2647059
108.5,514
111.4775161,591.124197
116,660.2142857
120.2783726,239.0899358
121,158.625
123.2119914,517.7837259
132,539.8125
136,275.28125
137.8800857,240.5567452
146,389.71875
146.5,648.6
146.5,514
148,189.65625
148.1477516,222.9550321
148.5,416.3666667
158.4154176,557.3875803
162.8158458,291.8950749
166,478.53125
167.5,363.9
169,637.25
169.5,610.5666667
178.9507495,294.8286938
178.9507495,274.2933619
182.5,433.3333333
191.5,407.7333333
197.5,355.2333333
203,510.375
216.5,564.5666667
221.4882227,371.1027837
227.5,321.4
248.5,509.6
255.2248394,316.8308351
256.6916488,281.627409
258.1584582,299.2291221
265.3333333,455.4722222
268,412.65625
268,264.9642857
275.5,517.2666667
283.5,472.3461538
288,348.53125
289,441.4375
294.8286938,296.2955032
305.0963597,310.9635974
310,427.8125
311.5,515.1666667
313.8972163,296.2955032
314.3125,404.21875
315.3640257,275.7601713
319.1470588,376.4558824
319.764454,337.366167
331.4989293,350.5674518
334,411.9285714
336.5,249.4
337.366167,331.4989293
340,490.75
345.5,373.6333333
346,462.75
359,229.875
373,20.46875
378.5,353.4333333
380.2619048,504.4
385.9166667,484.3012821
388,389.90625
398,515.125
399.7352941,164.3529412
402,462.71875
403.5,553
419,168.3928571
423,264.40625
428.5,306.6333333
441,335.34375
477.1842105,391.9736842
480.5,359.6333333
489.9143469,390.1713062
506.5,41.33333333
528,408.15
540.5,335.3666667
561.5,273.6
564.5,455.7666667
603.5,532.3
629.5,38.2
633.5,9.5
655,487.3125
658.7352941,555.8823529
677.6659529,539.7858672
687.9336188,522.1841542
689,462.15625
698.2012848,508.9828694
705.5,490.1533333
735.5,325.3333333
739,434.03125
840,338.3125
