Default Dataset,
X,Y
9.5,55.91538462
11.17773019,240.3211991
14.5,8.807692308
16.76659529,232.496788
22.35546039,248.1456103
29.5,217.7727273
51.59090909,257.1818182
58.91176471,314.0882353
77.5,321.1923077
91.5,7.153846154
96.5,350.5
130.5,272.4285714
175.5,334.2692308
180.5,166.3921569
195.5,365.0769231
235.6111111,53.16666667
259.1315789,297.7894737
264.5,373.2307692
289,189.505102
357.0714286,27.85714286
370,358.6428571
387.8672377,426.9892934
402.3982869,406.869379
406.9,288.0733333
416.2857143,349.1666667
429.5,156.1538462
429.5,274.4230769
437.625,421.1875
449.5,204.8076923
468.5588235,69.35294118
489.8333333,305.8888889
506.9,406.3666667
518.6466809,215.7301927
523.5,297
526,413.75
532.2142857,199.4285714
555.5,114.3846154
560.5,141.6098901
573.5,334.3461538
577.5,272.1769231
589.5,225.8461538
609.5,204.7692308
610,329.5
613.5,405.6666667
623.7173448,146.4282655
630.4239829,129.6616702
633.5,185.2692308
641.7666667,460.4666667
653.8972163,149.7815846
653.9285714,407.4642857
660.5769231,452.3076923
665.7,296.6333333
677.1428571,511.8928571
680,491.1
680.5,178.0294118
680.5,350.6538462
688.5625,276.28125
700.3,116.3666667
705.6111111,279.5555556
722.1666667,244.2
723.5,111.6428571
730,205.8
737.7301927,196.7280514
741,256.75
741.5,114.4
748.5,153
755,186.825
758.9678801,181.0792291
770.1456103,165.4304069
776.5,169.1190476
779.5,122.1538462
783.5588865,172.137045
798.625,143.34375
819.8181818,138.2586898
824.9164882,124.0728051
